Angaben.in.[GWh];Jahr;GWh
biogener Anteil des Abfalls ¹;01.01.2003;3454
biogene Festbrennstoffe ²;01.01.2003;1082
biogene gasförmige und flüssige Brennstoffe ³;01.01.2003;145
Biomethan;01.01.2003;-
Geothermie, Umweltwärme, Solarthermie;01.01.2003;-
biogener Anteil des Abfalls ¹;01.01.2004;3577
biogene Festbrennstoffe ²;01.01.2004;1968
biogene gasförmige und flüssige Brennstoffe ³;01.01.2004;168
Biomethan;01.01.2004;-
Geothermie, Umweltwärme, Solarthermie;01.01.2004;-
biogener Anteil des Abfalls ¹;01.01.2005;4378
biogene Festbrennstoffe ²;01.01.2005;2242
biogene gasförmige und flüssige Brennstoffe ³;01.01.2005;272
Biomethan;01.01.2005;-
Geothermie, Umweltwärme, Solarthermie;01.01.2005;-
biogener Anteil des Abfalls ¹;01.01.2006;5304
biogene Festbrennstoffe ²;01.01.2006;2314
biogene gasförmige und flüssige Brennstoffe ³;01.01.2006;281
Biomethan;01.01.2006;-
Geothermie, Umweltwärme, Solarthermie;01.01.2006;-
biogener Anteil des Abfalls ¹;01.01.2007;5482
biogene Festbrennstoffe ²;01.01.2007;2438
biogene gasförmige und flüssige Brennstoffe ³;01.01.2007;341
Biomethan;01.01.2007;-
Geothermie, Umweltwärme, Solarthermie;01.01.2007;-
biogener Anteil des Abfalls ¹;01.01.2008;6373
biogene Festbrennstoffe ²;01.01.2008;3028
biogene gasförmige und flüssige Brennstoffe ³;01.01.2008;343
Biomethan;01.01.2008;-
Geothermie, Umweltwärme, Solarthermie;01.01.2008;-
biogener Anteil des Abfalls ¹;01.01.2009;6105
biogene Festbrennstoffe ²;01.01.2009;3929
biogene gasförmige und flüssige Brennstoffe ³;01.01.2009;541
Biomethan;01.01.2009;-
Geothermie, Umweltwärme, Solarthermie;01.01.2009;-
biogener Anteil des Abfalls ¹;01.01.2010;6563
biogene Festbrennstoffe ²;01.01.2010;4428
biogene gasförmige und flüssige Brennstoffe ³;01.01.2010;574
Biomethan;01.01.2010;-
Geothermie, Umweltwärme, Solarthermie;01.01.2010;-
biogener Anteil des Abfalls ¹;01.01.2011;6728
biogene Festbrennstoffe ²;01.01.2011;5184
biogene gasförmige und flüssige Brennstoffe ³;01.01.2011;728
Biomethan;01.01.2011;-
Geothermie, Umweltwärme, Solarthermie;01.01.2011;-
biogener Anteil des Abfalls ¹;01.01.2012;7414
biogene Festbrennstoffe ²;01.01.2012;6467
biogene gasförmige und flüssige Brennstoffe ³;01.01.2012;1004
Biomethan;01.01.2012;-
Geothermie, Umweltwärme, Solarthermie;01.01.2012;-
biogener Anteil des Abfalls ¹;01.01.2013;8371
biogene Festbrennstoffe ²;01.01.2013;6210
biogene gasförmige und flüssige Brennstoffe ³;01.01.2013;869
Biomethan;01.01.2013;524
Geothermie, Umweltwärme, Solarthermie;01.01.2013;61
biogener Anteil des Abfalls ¹;01.01.2014;8225
biogene Festbrennstoffe ²;01.01.2014;6250
biogene gasförmige und flüssige Brennstoffe ³;01.01.2014;915
Biomethan;01.01.2014;951
Geothermie, Umweltwärme, Solarthermie;01.01.2014;87
biogener Anteil des Abfalls ¹;01.01.2015;8412
biogene Festbrennstoffe ²;01.01.2015;6783
biogene gasförmige und flüssige Brennstoffe ³;01.01.2015;1127
Biomethan;01.01.2015;1490
Geothermie, Umweltwärme, Solarthermie;01.01.2015;177
biogener Anteil des Abfalls ¹;01.01.2016;8518
biogene Festbrennstoffe ²;01.01.2016;7169
biogene gasförmige und flüssige Brennstoffe ³;01.01.2016;1147
Biomethan;01.01.2016;1471
Geothermie, Umweltwärme, Solarthermie;01.01.2016;223
biogener Anteil des Abfalls ¹;01.01.2017;8993
biogene Festbrennstoffe ²;01.01.2017;7084
biogene gasförmige und flüssige Brennstoffe ³;01.01.2017;1130
Biomethan;01.01.2017;1404
Geothermie, Umweltwärme, Solarthermie;01.01.2017;180
biogener Anteil des Abfalls ¹;01.01.2018;10010
biogene Festbrennstoffe ²;01.01.2018;6657
biogene gasförmige und flüssige Brennstoffe ³;01.01.2018;2348
Biomethan;01.01.2018;1960
Geothermie, Umweltwärme, Solarthermie;01.01.2018;372
biogener Anteil des Abfalls ¹;01.01.2019;10133
biogene Festbrennstoffe ²;01.01.2019;6895
biogene gasförmige und flüssige Brennstoffe ³;01.01.2019;2590
Biomethan;01.01.2019;2028
Geothermie, Umweltwärme, Solarthermie;01.01.2019;485
biogener Anteil des Abfalls ¹;01.01.2020;9628
biogene Festbrennstoffe ²;01.01.2020;7091
biogene gasförmige und flüssige Brennstoffe ³;01.01.2020;2840
Biomethan;01.01.2020;2235
Geothermie, Umweltwärme, Solarthermie;01.01.2020;553
biogener Anteil des Abfalls ¹;01.01.2021;10541
biogene Festbrennstoffe ²;01.01.2021;7666
biogene gasförmige und flüssige Brennstoffe ³;01.01.2021;3099
Biomethan;01.01.2021;2401
Geothermie, Umweltwärme, Solarthermie;01.01.2021;557
biogener Anteil des Abfalls ¹;01.01.2022;9937
biogene Festbrennstoffe ²;01.01.2022;7425
biogene gasförmige und flüssige Brennstoffe ³;01.01.2022;3318
Biomethan;01.01.2022;2362
Geothermie, Umweltwärme, Solarthermie;01.01.2022;526
