Angaben.in.[GWh];Jahr;GWh
biogene Festbrennstoffe (Haushalte);01.01.1990;25355
biogene Festbrennstoffe (GHD);01.01.1990;0
biogene Festbrennstoffe (Industrie);01.01.1990;2909
biogene Festbrennstoffe (HW/HKW);01.01.1990;1
biogene flüssige Brennstoffe;01.01.1990;0
Biogas;01.01.1990;0
Biomethan;01.01.1990;0
Klargas;01.01.1990;0
Deponiegas;01.01.1990;0
biogene gasförmige Brennstoffe;01.01.1990;0
biogener Anteil des Abfalls;01.01.1990;2308
Solarthermie;01.01.1990;131
tiefe Geothermie;01.01.1990;100
oberflächennahe Geothermie,  Umweltwärme;01.01.1990;1712
Gesamt;01.01.1990;32516
biogene Festbrennstoffe (Haushalte);01.01.1991;25448
biogene Festbrennstoffe (GHD);01.01.1991;0
biogene Festbrennstoffe (Industrie);01.01.1991;2909
biogene Festbrennstoffe (HW/HKW);01.01.1991;3
biogene flüssige Brennstoffe;01.01.1991;0
Biogas;01.01.1991;0
Biomethan;01.01.1991;0
Klargas;01.01.1991;0
Deponiegas;01.01.1991;0
biogene gasförmige Brennstoffe;01.01.1991;0
biogener Anteil des Abfalls;01.01.1991;2308
Solarthermie;01.01.1991;168
tiefe Geothermie;01.01.1991;100
oberflächennahe Geothermie,  Umweltwärme;01.01.1991;1735
Gesamt;01.01.1991;32671
biogene Festbrennstoffe (Haushalte);01.01.1992;25448
biogene Festbrennstoffe (GHD);01.01.1992;0
biogene Festbrennstoffe (Industrie);01.01.1992;2909
biogene Festbrennstoffe (HW/HKW);01.01.1992;5
biogene flüssige Brennstoffe;01.01.1992;0
Biogas;01.01.1992;0
Biomethan;01.01.1992;0
Klargas;01.01.1992;0
Deponiegas;01.01.1992;0
biogene gasförmige Brennstoffe;01.01.1992;0
biogener Anteil des Abfalls;01.01.1992;2308
Solarthermie;01.01.1992;219
tiefe Geothermie;01.01.1992;100
oberflächennahe Geothermie,  Umweltwärme;01.01.1992;1765
Gesamt;01.01.1992;32754
biogene Festbrennstoffe (Haushalte);01.01.1993;25448
biogene Festbrennstoffe (GHD);01.01.1993;0
biogene Festbrennstoffe (Industrie);01.01.1993;2909
biogene Festbrennstoffe (HW/HKW);01.01.1993;11
biogene flüssige Brennstoffe;01.01.1993;0
Biogas;01.01.1993;0
Biomethan;01.01.1993;0
Klargas;01.01.1993;0
Deponiegas;01.01.1993;0
biogene gasförmige Brennstoffe;01.01.1993;0
biogener Anteil des Abfalls;01.01.1993;2308
Solarthermie;01.01.1993;263
tiefe Geothermie;01.01.1993;100
oberflächennahe Geothermie,  Umweltwärme;01.01.1993;1797
Gesamt;01.01.1993;32836
biogene Festbrennstoffe (Haushalte);01.01.1994;25448
biogene Festbrennstoffe (GHD);01.01.1994;0
biogene Festbrennstoffe (Industrie);01.01.1994;2909
biogene Festbrennstoffe (HW/HKW);01.01.1994;18
biogene flüssige Brennstoffe;01.01.1994;0
Biogas;01.01.1994;0
Biomethan;01.01.1994;0
Klargas;01.01.1994;0
Deponiegas;01.01.1994;0
biogene gasförmige Brennstoffe;01.01.1994;0
biogener Anteil des Abfalls;01.01.1994;2308
Solarthermie;01.01.1994;334
tiefe Geothermie;01.01.1994;100
oberflächennahe Geothermie,  Umweltwärme;01.01.1994;1834
Gesamt;01.01.1994;32951
