Jahr;Energieträger;Nettowärmeerzeugung
2022;Steinkohlen;19106288
2022;Steinkohlenkoks;
2022;Steinkohlenbriketts;
2022;Kohlenwertstoffe aus Steinkohle;
2022;Sonstige Steinkohlen;
2022;Rohbraunkohlen;6558509
2022;Hartbraunkohlen;
2022;Braunkohlenbriketts;
2022;Braunkohlenkoks;
2022;Wirbelschichtkohle;
2022;Staub- und Trockenkohle;
2022;Sonstige Braunkohlen;
2022;Dieselkraftstoff;
2022;Heizöl, leicht;1386039
2022;Heizöl, schwer;33706
2022;Flüssiggas;
2022;Raffineriegas;
2022;Petrolkoks;
2022;Sonstige Mineralölprodukte;
2022;Erdgas, Erdölgas;41934364
2022;Grubengas;
2022;Kokereigas;
2022;Hochofengas;
2022;Sonstige hergestellte Gase;
2022;Wasserstoff;
2022;Laufwasser;
2022;Speicherwasser;
2022;Pumpspeicherwasser;
2022;Pumpspeicher mit natürlichem Zufluss;
2022;Pumpspeicher ohne natürlichen Zufluss;
2022;Windkraft;
2022;Photovoltaik;
2022;Geothermie;
2022;Wärmepumpen (Erd- und Umweltwärme);
2022;Solarthermie;
2022;Feste biogene Stoffe;5496277
2022;Flüssige biogene Stoffe;
2022;Biogas;2238806
2022;Biomethan (Bioerdgas);1172103
2022;Klärgas;
2022;Deponiegas;35286
2022;Sonstige erneuerbare Energien;
2022;Klärschlamm;107537
2022;Abfall (Hausmüll, Industrie);
2022;Abfall (Industrie);1083604
2022;Abfall (Hausmüll, Siedlungsabfälle);16865152
2022;Kernenergie;
2022;Wärme;1115125
2022;Strom (Elektrokessel);
2022;Sonstige Energieträger;
2022;Andere Speicher;
2022;Insgesamt;98388835
