Jahr;Monat;Energieträger;Nettowärmeerzeugung
2023;Januar;Steinkohlen;2489726
2023;Januar;Steinkohlenkoks;
2023;Januar;Steinkohlenbriketts;
2023;Januar;Kohlenwertstoffe aus Steinkohle;
2023;Januar;Sonstige Steinkohlen;
2023;Januar;Rohbraunkohlen;638366
2023;Januar;Hartbraunkohlen;
2023;Januar;Braunkohlenbriketts;
2023;Januar;Braunkohlenkoks;
2023;Januar;Wirbelschichtkohle;
2023;Januar;Staub- und Trockenkohle;
2023;Januar;Sonstige Braunkohlen;
2023;Januar;Dieselkraftstoff;
2023;Januar;Heizöl, leicht;204714
2023;Januar;Heizöl, schwer;6720
2023;Januar;Flüssiggas;
2023;Januar;Raffineriegas;
2023;Januar;Petrolkoks;
2023;Januar;Sonstige Mineralölprodukte;
2023;Januar;Erdgas, Erdölgas;5254706
2023;Januar;Grubengas;
2023;Januar;Kokereigas;
2023;Januar;Hochofengas;
2023;Januar;Sonstige hergestellte Gase;
2023;Januar;Wasserstoff;
2023;Januar;Laufwasser;
2023;Januar;Speicherwasser;
2023;Januar;Pumpspeicherwasser;
2023;Januar;Pumpspeicher mit natürlichem Zufluss;
2023;Januar;Pumpspeicher ohne natürlichen Zufluss;
2023;Januar;Windkraft;
2023;Januar;Photovoltaik;
2023;Januar;Geothermie;
2023;Januar;Wärmepumpen (Erd- und Umweltwärme);
2023;Januar;Solarthermie;
2023;Januar;Feste biogene Stoffe;589210
2023;Januar;Flüssige biogene Stoffe;
2023;Januar;Biogas;192374
2023;Januar;Biomethan (Bioerdgas);146036
2023;Januar;Klärgas;
2023;Januar;Deponiegas;3016
2023;Januar;Sonstige erneuerbare Energien;
2023;Januar;Klärschlamm;10352
2023;Januar;Abfall (Hausmüll, Industrie);
2023;Januar;Abfall (Industrie);125038
2023;Januar;Abfall (Hausmüll, Siedlungsabfälle);1733138
2023;Januar;Kernenergie;
2023;Januar;Wärme;122991
2023;Januar;Strom (Elektrokessel);
2023;Januar;Sonstige Energieträger;
2023;Januar;Andere Speicher;
2023;Januar;Insgesamt;11689212
2023;Februar;Steinkohlen;2382985
2023;Februar;Steinkohlenkoks;
2023;Februar;Steinkohlenbriketts;
2023;Februar;Kohlenwertstoffe aus Steinkohle;
2023;Februar;Sonstige Steinkohlen;
2023;Februar;Rohbraunkohlen;606709
2023;Februar;Hartbraunkohlen;
2023;Februar;Braunkohlenbriketts;
2023;Februar;Braunkohlenkoks;
2023;Februar;Wirbelschichtkohle;
2023;Februar;Staub- und Trockenkohle;
2023;Februar;Sonstige Braunkohlen;
2023;Februar;Dieselkraftstoff;
2023;Februar;Heizöl, leicht;75199
2023;Februar;Heizöl, schwer;1688
2023;Februar;Flüssiggas;
2023;Februar;Raffineriegas;
2023;Februar;Petrolkoks;
2023;Februar;Sonstige Mineralölprodukte;
2023;Februar;Erdgas, Erdölgas;5121454
2023;Februar;Grubengas;11679
2023;Februar;Kokereigas;
2023;Februar;Hochofengas;
2023;Februar;Sonstige hergestellte Gase;
2023;Februar;Wasserstoff;
2023;Februar;Laufwasser;
2023;Februar;Speicherwasser;
2023;Februar;Pumpspeicherwasser;
2023;Februar;Pumpspeicher mit natürlichem Zufluss;
2023;Februar;Pumpspeicher ohne natürlichen Zufluss;
2023;Februar;Windkraft;
2023;Februar;Photovoltaik;
2023;Februar;Geothermie;
2023;Februar;Wärmepumpen (Erd- und Umweltwärme);
2023;Februar;Solarthermie;
2023;Februar;Feste biogene Stoffe;541345
2023;Februar;Flüssige biogene Stoffe;
2023;Februar;Biogas;181543
2023;Februar;Biomethan (Bioerdgas);134599
2023;Februar;Klärgas;
2023;Februar;Deponiegas;2717
2023;Februar;Sonstige erneuerbare Energien;
2023;Februar;Klärschlamm;10701
2023;Februar;Abfall (Hausmüll, Industrie);
2023;Februar;Abfall (Industrie);86382
2023;Februar;Abfall (Hausmüll, Siedlungsabfälle);1708780
2023;Februar;Kernenergie;
2023;Februar;Wärme;108212
2023;Februar;Strom (Elektrokessel);
2023;Februar;Sonstige Energieträger;
2023;Februar;Andere Speicher;
2023;Februar;Insgesamt;11098919
2023;März;Steinkohlen;2201580
2023;März;Steinkohlenkoks;
2023;März;Steinkohlenbriketts;
2023;März;Kohlenwertstoffe aus Steinkohle;
2023;März;Sonstige Steinkohlen;
2023;März;Rohbraunkohlen;636066
2023;März;Hartbraunkohlen;
2023;März;Braunkohlenbriketts;
2023;März;Braunkohlenkoks;
2023;März;Wirbelschichtkohle;
2023;März;Staub- und Trockenkohle;
2023;März;Sonstige Braunkohlen;
2023;März;Dieselkraftstoff;
2023;März;Heizöl, leicht;45987
2023;März;Heizöl, schwer;3062
2023;März;Flüssiggas;
2023;März;Raffineriegas;
2023;März;Petrolkoks;
2023;März;Sonstige Mineralölprodukte;
2023;März;Erdgas, Erdölgas;4772625
2023;März;Grubengas;12908
2023;März;Kokereigas;
2023;März;Hochofengas;
2023;März;Sonstige hergestellte Gase;
2023;März;Wasserstoff;
2023;März;Laufwasser;
2023;März;Speicherwasser;
2023;März;Pumpspeicherwasser;
2023;März;Pumpspeicher mit natürlichem Zufluss;
2023;März;Pumpspeicher ohne natürlichen Zufluss;
2023;März;Windkraft;
2023;März;Photovoltaik;
2023;März;Geothermie;
2023;März;Wärmepumpen (Erd- und Umweltwärme);
2023;März;Solarthermie;
2023;März;Feste biogene Stoffe;638427
2023;März;Flüssige biogene Stoffe;
2023;März;Biogas;195797
2023;März;Biomethan (Bioerdgas);127415
2023;März;Klärgas;
2023;März;Deponiegas;2817
2023;März;Sonstige erneuerbare Energien;
2023;März;Klärschlamm;11038
2023;März;Abfall (Hausmüll, Industrie);
2023;März;Abfall (Industrie);102065
2023;März;Abfall (Hausmüll, Siedlungsabfälle);1703816
2023;März;Kernenergie;
2023;März;Wärme;118507
2023;März;Strom (Elektrokessel);
2023;März;Sonstige Energieträger;
2023;März;Andere Speicher;
2023;März;Insgesamt;10670338
2023;April;Steinkohlen;1555265
2023;April;Steinkohlenkoks;
2023;April;Steinkohlenbriketts;
2023;April;Kohlenwertstoffe aus Steinkohle;
2023;April;Sonstige Steinkohlen;
2023;April;Rohbraunkohlen;577671
2023;April;Hartbraunkohlen;
2023;April;Braunkohlenbriketts;
2023;April;Braunkohlenkoks;
2023;April;Wirbelschichtkohle;
2023;April;Staub- und Trockenkohle;
2023;April;Sonstige Braunkohlen;
2023;April;Dieselkraftstoff;
2023;April;Heizöl, leicht;32805
2023;April;Heizöl, schwer;
2023;April;Flüssiggas;
2023;April;Raffineriegas;
2023;April;Petrolkoks;
2023;April;Sonstige Mineralölprodukte;
2023;April;Erdgas, Erdölgas;3741172
2023;April;Grubengas;16418
2023;April;Kokereigas;
2023;April;Hochofengas;
2023;April;Sonstige hergestellte Gase;
2023;April;Wasserstoff;
2023;April;Laufwasser;
2023;April;Speicherwasser;
2023;April;Pumpspeicherwasser;
2023;April;Pumpspeicher mit natürlichem Zufluss;
2023;April;Pumpspeicher ohne natürlichen Zufluss;
2023;April;Windkraft;
2023;April;Photovoltaik;
2023;April;Geothermie;
2023;April;Wärmepumpen (Erd- und Umweltwärme);
2023;April;Solarthermie;
2023;April;Feste biogene Stoffe;552017
2023;April;Flüssige biogene Stoffe;
2023;April;Biogas;174446
2023;April;Biomethan (Bioerdgas);115412
2023;April;Klärgas;
2023;April;Deponiegas;2633
2023;April;Sonstige erneuerbare Energien;
2023;April;Klärschlamm;9963
2023;April;Abfall (Hausmüll, Industrie);
2023;April;Abfall (Industrie);105758
2023;April;Abfall (Hausmüll, Siedlungsabfälle);1474764
2023;April;Kernenergie;
2023;April;Wärme;116557
2023;April;Strom (Elektrokessel);
2023;April;Sonstige Energieträger;
2023;April;Andere Speicher;
2023;April;Insgesamt;8540767
2023;Mai;Steinkohlen;738508
2023;Mai;Steinkohlenkoks;0
2023;Mai;Steinkohlenbriketts;0
2023;Mai;Kohlenwertstoffe aus Steinkohle;0
2023;Mai;Sonstige Steinkohlen;0
2023;Mai;Rohbraunkohlen;367471
2023;Mai;Hartbraunkohlen;0
2023;Mai;Braunkohlenbriketts;
2023;Mai;Braunkohlenkoks;
2023;Mai;Wirbelschichtkohle;0
2023;Mai;Staub- und Trockenkohle;
2023;Mai;Sonstige Braunkohlen;0
2023;Mai;Dieselkraftstoff;0
2023;Mai;Heizöl, leicht;21920
2023;Mai;Heizöl, schwer;
2023;Mai;Flüssiggas;0
2023;Mai;Raffineriegas;0
2023;Mai;Petrolkoks;0
2023;Mai;Sonstige Mineralölprodukte;
2023;Mai;Erdgas, Erdölgas;2553267
2023;Mai;Grubengas;
2023;Mai;Kokereigas;0
2023;Mai;Hochofengas;0
2023;Mai;Sonstige hergestellte Gase;
2023;Mai;Wasserstoff;
2023;Mai;Laufwasser;0
2023;Mai;Speicherwasser;0
2023;Mai;Pumpspeicherwasser;0
2023;Mai;Pumpspeicher mit natürlichem Zufluss;0
2023;Mai;Pumpspeicher ohne natürlichen Zufluss;0
2023;Mai;Windkraft;0
2023;Mai;Photovoltaik;0
2023;Mai;Geothermie;0
2023;Mai;Wärmepumpen (Erd- und Umweltwärme);0
2023;Mai;Solarthermie;0
2023;Mai;Feste biogene Stoffe;443905
2023;Mai;Flüssige biogene Stoffe;
2023;Mai;Biogas;173648
2023;Mai;Biomethan (Bioerdgas);81733
2023;Mai;Klärgas;
2023;Mai;Deponiegas;2329
2023;Mai;Sonstige erneuerbare Energien;0
2023;Mai;Klärschlamm;
2023;Mai;Abfall (Hausmüll, Industrie);0
2023;Mai;Abfall (Industrie);103474
2023;Mai;Abfall (Hausmüll, Siedlungsabfälle);1271589
2023;Mai;Kernenergie;0
2023;Mai;Wärme;122700
2023;Mai;Strom (Elektrokessel);1144
2023;Mai;Sonstige Energieträger;
2023;Mai;Andere Speicher;0
2023;Mai;Insgesamt;5941723
2023;Juni;Steinkohlen;
2023;Juni;Steinkohlenkoks;
2023;Juni;Steinkohlenbriketts;
2023;Juni;Kohlenwertstoffe aus Steinkohle;
2023;Juni;Sonstige Steinkohlen;
2023;Juni;Rohbraunkohlen;
2023;Juni;Hartbraunkohlen;
2023;Juni;Braunkohlenbriketts;
2023;Juni;Braunkohlenkoks;
2023;Juni;Wirbelschichtkohle;
2023;Juni;Staub- und Trockenkohle;
2023;Juni;Sonstige Braunkohlen;
2023;Juni;Dieselkraftstoff;
2023;Juni;Heizöl, leicht;
2023;Juni;Heizöl, schwer;
2023;Juni;Flüssiggas;
2023;Juni;Raffineriegas;
2023;Juni;Petrolkoks;
2023;Juni;Sonstige Mineralölprodukte;
2023;Juni;Erdgas, Erdölgas;
2023;Juni;Grubengas;
2023;Juni;Kokereigas;
2023;Juni;Hochofengas;
2023;Juni;Sonstige hergestellte Gase;
2023;Juni;Wasserstoff;
2023;Juni;Laufwasser;
2023;Juni;Speicherwasser;
2023;Juni;Pumpspeicherwasser;
2023;Juni;Pumpspeicher mit natürlichem Zufluss;
2023;Juni;Pumpspeicher ohne natürlichen Zufluss;
2023;Juni;Windkraft;
2023;Juni;Photovoltaik;
2023;Juni;Geothermie;
2023;Juni;Wärmepumpen (Erd- und Umweltwärme);
2023;Juni;Solarthermie;
2023;Juni;Feste biogene Stoffe;
2023;Juni;Flüssige biogene Stoffe;
2023;Juni;Biogas;
2023;Juni;Biomethan (Bioerdgas);
2023;Juni;Klärgas;
2023;Juni;Deponiegas;
2023;Juni;Sonstige erneuerbare Energien;
2023;Juni;Klärschlamm;
2023;Juni;Abfall (Hausmüll, Industrie);
2023;Juni;Abfall (Industrie);
2023;Juni;Abfall (Hausmüll, Siedlungsabfälle);
2023;Juni;Kernenergie;
2023;Juni;Wärme;
2023;Juni;Strom (Elektrokessel);
2023;Juni;Sonstige Energieträger;
2023;Juni;Andere Speicher;
2023;Juni;Insgesamt;
2023;Juli;Steinkohlen;
2023;Juli;Steinkohlenkoks;
2023;Juli;Steinkohlenbriketts;
2023;Juli;Kohlenwertstoffe aus Steinkohle;
2023;Juli;Sonstige Steinkohlen;
2023;Juli;Rohbraunkohlen;
2023;Juli;Hartbraunkohlen;
2023;Juli;Braunkohlenbriketts;
2023;Juli;Braunkohlenkoks;
2023;Juli;Wirbelschichtkohle;
2023;Juli;Staub- und Trockenkohle;
2023;Juli;Sonstige Braunkohlen;
2023;Juli;Dieselkraftstoff;
2023;Juli;Heizöl, leicht;
2023;Juli;Heizöl, schwer;
2023;Juli;Flüssiggas;
2023;Juli;Raffineriegas;
2023;Juli;Petrolkoks;
2023;Juli;Sonstige Mineralölprodukte;
2023;Juli;Erdgas, Erdölgas;
2023;Juli;Grubengas;
2023;Juli;Kokereigas;
2023;Juli;Hochofengas;
2023;Juli;Sonstige hergestellte Gase;
2023;Juli;Wasserstoff;
2023;Juli;Laufwasser;
2023;Juli;Speicherwasser;
2023;Juli;Pumpspeicherwasser;
2023;Juli;Pumpspeicher mit natürlichem Zufluss;
2023;Juli;Pumpspeicher ohne natürlichen Zufluss;
2023;Juli;Windkraft;
2023;Juli;Photovoltaik;
2023;Juli;Geothermie;
2023;Juli;Wärmepumpen (Erd- und Umweltwärme);
2023;Juli;Solarthermie;
2023;Juli;Feste biogene Stoffe;
2023;Juli;Flüssige biogene Stoffe;
2023;Juli;Biogas;
2023;Juli;Biomethan (Bioerdgas);
2023;Juli;Klärgas;
2023;Juli;Deponiegas;
2023;Juli;Sonstige erneuerbare Energien;
2023;Juli;Klärschlamm;
2023;Juli;Abfall (Hausmüll, Industrie);
2023;Juli;Abfall (Industrie);
2023;Juli;Abfall (Hausmüll, Siedlungsabfälle);
2023;Juli;Kernenergie;
2023;Juli;Wärme;
2023;Juli;Strom (Elektrokessel);
2023;Juli;Sonstige Energieträger;
2023;Juli;Andere Speicher;
2023;Juli;Insgesamt;
2023;August;Steinkohlen;
2023;August;Steinkohlenkoks;
2023;August;Steinkohlenbriketts;
2023;August;Kohlenwertstoffe aus Steinkohle;
2023;August;Sonstige Steinkohlen;
2023;August;Rohbraunkohlen;
2023;August;Hartbraunkohlen;
2023;August;Braunkohlenbriketts;
2023;August;Braunkohlenkoks;
2023;August;Wirbelschichtkohle;
2023;August;Staub- und Trockenkohle;
2023;August;Sonstige Braunkohlen;
2023;August;Dieselkraftstoff;
2023;August;Heizöl, leicht;
2023;August;Heizöl, schwer;
2023;August;Flüssiggas;
2023;August;Raffineriegas;
2023;August;Petrolkoks;
2023;August;Sonstige Mineralölprodukte;
2023;August;Erdgas, Erdölgas;
2023;August;Grubengas;
2023;August;Kokereigas;
2023;August;Hochofengas;
2023;August;Sonstige hergestellte Gase;
2023;August;Wasserstoff;
2023;August;Laufwasser;
2023;August;Speicherwasser;
2023;August;Pumpspeicherwasser;
2023;August;Pumpspeicher mit natürlichem Zufluss;
2023;August;Pumpspeicher ohne natürlichen Zufluss;
2023;August;Windkraft;
2023;August;Photovoltaik;
2023;August;Geothermie;
2023;August;Wärmepumpen (Erd- und Umweltwärme);
2023;August;Solarthermie;
2023;August;Feste biogene Stoffe;
2023;August;Flüssige biogene Stoffe;
2023;August;Biogas;
2023;August;Biomethan (Bioerdgas);
2023;August;Klärgas;
2023;August;Deponiegas;
2023;August;Sonstige erneuerbare Energien;
2023;August;Klärschlamm;
2023;August;Abfall (Hausmüll, Industrie);
2023;August;Abfall (Industrie);
2023;August;Abfall (Hausmüll, Siedlungsabfälle);
2023;August;Kernenergie;
2023;August;Wärme;
2023;August;Strom (Elektrokessel);
2023;August;Sonstige Energieträger;
2023;August;Andere Speicher;
2023;August;Insgesamt;
2023;September;Steinkohlen;
2023;September;Steinkohlenkoks;
2023;September;Steinkohlenbriketts;
2023;September;Kohlenwertstoffe aus Steinkohle;
2023;September;Sonstige Steinkohlen;
2023;September;Rohbraunkohlen;
2023;September;Hartbraunkohlen;
2023;September;Braunkohlenbriketts;
2023;September;Braunkohlenkoks;
2023;September;Wirbelschichtkohle;
2023;September;Staub- und Trockenkohle;
2023;September;Sonstige Braunkohlen;
2023;September;Dieselkraftstoff;
2023;September;Heizöl, leicht;
2023;September;Heizöl, schwer;
2023;September;Flüssiggas;
2023;September;Raffineriegas;
2023;September;Petrolkoks;
2023;September;Sonstige Mineralölprodukte;
2023;September;Erdgas, Erdölgas;
2023;September;Grubengas;
2023;September;Kokereigas;
2023;September;Hochofengas;
2023;September;Sonstige hergestellte Gase;
2023;September;Wasserstoff;
2023;September;Laufwasser;
2023;September;Speicherwasser;
2023;September;Pumpspeicherwasser;
2023;September;Pumpspeicher mit natürlichem Zufluss;
2023;September;Pumpspeicher ohne natürlichen Zufluss;
2023;September;Windkraft;
2023;September;Photovoltaik;
2023;September;Geothermie;
2023;September;Wärmepumpen (Erd- und Umweltwärme);
2023;September;Solarthermie;
2023;September;Feste biogene Stoffe;
2023;September;Flüssige biogene Stoffe;
2023;September;Biogas;
2023;September;Biomethan (Bioerdgas);
2023;September;Klärgas;
2023;September;Deponiegas;
2023;September;Sonstige erneuerbare Energien;
2023;September;Klärschlamm;
2023;September;Abfall (Hausmüll, Industrie);
2023;September;Abfall (Industrie);
2023;September;Abfall (Hausmüll, Siedlungsabfälle);
2023;September;Kernenergie;
2023;September;Wärme;
2023;September;Strom (Elektrokessel);
2023;September;Sonstige Energieträger;
2023;September;Andere Speicher;
2023;September;Insgesamt;
2023;Oktober;Steinkohlen;
2023;Oktober;Steinkohlenkoks;
2023;Oktober;Steinkohlenbriketts;
2023;Oktober;Kohlenwertstoffe aus Steinkohle;
2023;Oktober;Sonstige Steinkohlen;
2023;Oktober;Rohbraunkohlen;
2023;Oktober;Hartbraunkohlen;
2023;Oktober;Braunkohlenbriketts;
2023;Oktober;Braunkohlenkoks;
2023;Oktober;Wirbelschichtkohle;
2023;Oktober;Staub- und Trockenkohle;
2023;Oktober;Sonstige Braunkohlen;
2023;Oktober;Dieselkraftstoff;
2023;Oktober;Heizöl, leicht;
2023;Oktober;Heizöl, schwer;
2023;Oktober;Flüssiggas;
2023;Oktober;Raffineriegas;
2023;Oktober;Petrolkoks;
2023;Oktober;Sonstige Mineralölprodukte;
2023;Oktober;Erdgas, Erdölgas;
2023;Oktober;Grubengas;
2023;Oktober;Kokereigas;
2023;Oktober;Hochofengas;
2023;Oktober;Sonstige hergestellte Gase;
2023;Oktober;Wasserstoff;
2023;Oktober;Laufwasser;
2023;Oktober;Speicherwasser;
2023;Oktober;Pumpspeicherwasser;
2023;Oktober;Pumpspeicher mit natürlichem Zufluss;
2023;Oktober;Pumpspeicher ohne natürlichen Zufluss;
2023;Oktober;Windkraft;
2023;Oktober;Photovoltaik;
2023;Oktober;Geothermie;
2023;Oktober;Wärmepumpen (Erd- und Umweltwärme);
2023;Oktober;Solarthermie;
2023;Oktober;Feste biogene Stoffe;
2023;Oktober;Flüssige biogene Stoffe;
2023;Oktober;Biogas;
2023;Oktober;Biomethan (Bioerdgas);
2023;Oktober;Klärgas;
2023;Oktober;Deponiegas;
2023;Oktober;Sonstige erneuerbare Energien;
2023;Oktober;Klärschlamm;
2023;Oktober;Abfall (Hausmüll, Industrie);
2023;Oktober;Abfall (Industrie);
2023;Oktober;Abfall (Hausmüll, Siedlungsabfälle);
2023;Oktober;Kernenergie;
2023;Oktober;Wärme;
2023;Oktober;Strom (Elektrokessel);
2023;Oktober;Sonstige Energieträger;
2023;Oktober;Andere Speicher;
2023;Oktober;Insgesamt;
2023;November;Steinkohlen;
2023;November;Steinkohlenkoks;
2023;November;Steinkohlenbriketts;
2023;November;Kohlenwertstoffe aus Steinkohle;
2023;November;Sonstige Steinkohlen;
2023;November;Rohbraunkohlen;
2023;November;Hartbraunkohlen;
2023;November;Braunkohlenbriketts;
2023;November;Braunkohlenkoks;
2023;November;Wirbelschichtkohle;
2023;November;Staub- und Trockenkohle;
2023;November;Sonstige Braunkohlen;
2023;November;Dieselkraftstoff;
2023;November;Heizöl, leicht;
2023;November;Heizöl, schwer;
2023;November;Flüssiggas;
2023;November;Raffineriegas;
2023;November;Petrolkoks;
2023;November;Sonstige Mineralölprodukte;
2023;November;Erdgas, Erdölgas;
2023;November;Grubengas;
2023;November;Kokereigas;
2023;November;Hochofengas;
2023;November;Sonstige hergestellte Gase;
2023;November;Wasserstoff;
2023;November;Laufwasser;
2023;November;Speicherwasser;
2023;November;Pumpspeicherwasser;
2023;November;Pumpspeicher mit natürlichem Zufluss;
2023;November;Pumpspeicher ohne natürlichen Zufluss;
2023;November;Windkraft;
2023;November;Photovoltaik;
2023;November;Geothermie;
2023;November;Wärmepumpen (Erd- und Umweltwärme);
2023;November;Solarthermie;
2023;November;Feste biogene Stoffe;
2023;November;Flüssige biogene Stoffe;
2023;November;Biogas;
2023;November;Biomethan (Bioerdgas);
2023;November;Klärgas;
2023;November;Deponiegas;
2023;November;Sonstige erneuerbare Energien;
2023;November;Klärschlamm;
2023;November;Abfall (Hausmüll, Industrie);
