Stichtag;Bevölkerungsstand
31.12.1990;79753227
31.12.1991;80274564
31.12.1992;80974632
31.12.1993;81338093
31.12.1994;81538603
31.12.1995;81817499
31.12.1996;82012162
31.12.1997;82057379
31.12.1998;82037011
31.12.1999;82163475
31.12.2000;82259540
31.12.2001;82440309
31.12.2002;82536680
31.12.2003;82531671
31.12.2004;82500849
31.12.2005;82437995
31.12.2006;82314906
31.12.2007;82217837
31.12.2008;82002356
31.12.2009;81802257
31.12.2010;81751602
31.12.2011;80327900
31.12.2012;80523746
31.12.2013;80767463
31.12.2014;81197537
31.12.2015;82175684
31.12.2016;82521653
31.12.2017;82792351
31.12.2018;83019213
31.12.2019;83166711
31.12.2020;83155031
31.12.2021;83237124
31.12.2022;84358845
