"","Datum","unit","geo","Benzin","Diesel","Elektrizität","Erdgas","Fernwärme","Flüssige Brennstoffe","Kohle"
"1",1997-01-01,"RCH_A","DE",NA,NA,0.4,2.1,6.7,27.6,1.6
"2",1997-02-01,"RCH_A","DE",NA,NA,0.4,2.9,7.6,11.6,1.1
"3",1997-03-01,"RCH_A","DE",NA,NA,0.6,3.1,7.6,1.8,1
"4",1997-04-01,"RCH_A","DE",NA,NA,0.6,3.7,7.3,-3.5,0.4
"5",1997-05-01,"RCH_A","DE",NA,NA,0.6,3.7,6.8,5.6,0.3
"6",1997-06-01,"RCH_A","DE",NA,NA,0.6,4.4,6.8,6.7,0.3
"7",1997-07-01,"RCH_A","DE",NA,NA,0.4,4.4,7.5,3.7,0.1
"8",1997-08-01,"RCH_A","DE",NA,NA,0.4,4.4,7,9.5,-0.1
"9",1997-09-01,"RCH_A","DE",NA,NA,0.4,4.4,7.2,-7.5,0.3
"10",1997-10-01,"RCH_A","DE",NA,NA,0.4,4.4,6.3,-9.3,0.1
"11",1997-11-01,"RCH_A","DE",NA,NA,0.4,4.1,4.6,-3.4,0.4
"12",1997-12-01,"RCH_A","DE",NA,NA,0.4,3.7,3.7,-7.3,0.1
"13",1998-01-01,"RCH_A","DE",NA,NA,0.2,1.8,2.6,-21.4,0
"14",1998-02-01,"RCH_A","DE",NA,NA,0.6,1.4,0.6,-15.2,-0.1
"15",1998-03-01,"RCH_A","DE",NA,NA,0.4,1,-0.4,-10.6,0
"16",1998-04-01,"RCH_A","DE",NA,NA,1.2,0.8,-0.9,-6.1,0.7
"17",1998-05-01,"RCH_A","DE",NA,NA,1.4,1,-1.1,-10.2,1.4
"18",1998-06-01,"RCH_A","DE",NA,NA,1.4,0.4,-1.7,-13.6,1.3
"19",1998-07-01,"RCH_A","DE",NA,NA,1.4,0.2,-2.7,-14.3,1.2
"20",1998-08-01,"RCH_A","DE",NA,NA,1.4,0.2,-3.2,-21.6,1.3
"21",1998-09-01,"RCH_A","DE",NA,NA,1.4,0.2,-4.6,-18,1
"22",1998-10-01,"RCH_A","DE",NA,NA,1.4,-1.4,-5,-22.9,0.9
"23",1998-11-01,"RCH_A","DE",NA,NA,1.4,-1.6,-5.9,-23.6,1.3
"24",1998-12-01,"RCH_A","DE",NA,NA,1.4,-1.8,-6.7,-24.6,1.6
"25",1999-01-01,"RCH_A","DE",NA,NA,1.2,-2.8,-7.6,-16.6,1.6
"26",1999-02-01,"RCH_A","DE",NA,NA,0.8,-3.2,-7.7,-17.5,2
"27",1999-03-01,"RCH_A","DE",NA,NA,1.2,-3.2,-7.7,0.5,2.1
"28",1999-04-01,"RCH_A","DE",NA,NA,7.7,-2.4,-7.7,6.7,1.7
"29",1999-05-01,"RCH_A","DE",NA,NA,7.7,-2.6,-7.3,8.1,1.1
"30",1999-06-01,"RCH_A","DE",NA,NA,7.7,-2.6,-6.9,11.6,1.4
