"","time","siec","unit","geo","RU","TOTAL"
"1",2023-07-01,"O4100_TOT","THS_T","DE",21.488,7040.085
"2",2023-06-01,"O4100_TOT","THS_T","DE",74.849,6126.707
"3",2023-05-01,"O4100_TOT","THS_T","DE",56.551,6506.747
"4",2023-04-01,"O4100_TOT","THS_T","DE",31.795,5857.063
"5",2023-03-01,"O4100_TOT","THS_T","DE",5.261,6701.592
"6",2023-02-01,"O4100_TOT","THS_T","DE",11.985,5880.855
"7",2023-01-01,"O4100_TOT","THS_T","DE",3.489,6732.105
"8",2022-12-01,"O4100_TOT","THS_T","DE",1149.911,7422.241
"9",2022-11-01,"O4100_TOT","THS_T","DE",1242.777,7191.809
"10",2022-10-01,"O4100_TOT","THS_T","DE",1294.082,8168.939
"11",2022-09-01,"O4100_TOT","THS_T","DE",1492.42,7486.394
"12",2022-08-01,"O4100_TOT","THS_T","DE",1673.582,7070.267
"13",2022-07-01,"O4100_TOT","THS_T","DE",1703.66,7462.436
"14",2022-06-01,"O4100_TOT","THS_T","DE",1810.742,7424.156
"15",2022-05-01,"O4100_TOT","THS_T","DE",2036.747,7608.814
"16",2022-04-01,"O4100_TOT","THS_T","DE",2127.906,7459.571
"17",2022-03-01,"O4100_TOT","THS_T","DE",2612.602,7090.862
"18",2022-02-01,"O4100_TOT","THS_T","DE",2430.437,6800.378
"19",2022-01-01,"O4100_TOT","THS_T","DE",2821.69,7044.373
"20",2021-12-01,"O4100_TOT","THS_T","DE",2527.583,7438.909
"21",2021-11-01,"O4100_TOT","THS_T","DE",2811.205,7656.45
"22",2021-10-01,"O4100_TOT","THS_T","DE",2803.908,7718.33
"23",2021-09-01,"O4100_TOT","THS_T","DE",1978.79,6534.605
"24",2021-08-01,"O4100_TOT","THS_T","DE",2557.908,7027.466
"25",2021-07-01,"O4100_TOT","THS_T","DE",2406.913,7215.505
"26",2021-06-01,"O4100_TOT","THS_T","DE",1970.96,6365.447
"27",2021-05-01,"O4100_TOT","THS_T","DE",1875.687,6466.857
"28",2021-04-01,"O4100_TOT","THS_T","DE",2364.555,6292.183
"29",2021-03-01,"O4100_TOT","THS_T","DE",2134.36,6585.701
