"","Datum","Jahr","Monat","Rohöl, Brent ($/bbl)","Erdgas, TTF ($/mmbtu)","Steinkohle, Australien ($/mt)","Steinkohle, Südafrika ($/mt)"
"1",1960-01-01,1960,1,1.63000011444,0.40477399635,NA,NA
"2",1960-02-01,1960,2,1.63000011444,0.40477399635,NA,NA
"3",1960-03-01,1960,3,1.63000011444,0.40477399635,NA,NA
"4",1960-04-01,1960,4,1.63000011444,0.40477399635,NA,NA
"5",1960-05-01,1960,5,1.63000011444,0.40477399635,NA,NA
"6",1960-06-01,1960,6,1.63000011444,0.40477399635,NA,NA
"7",1960-07-01,1960,7,1.63000011444,0.40477399635,NA,NA
"8",1960-08-01,1960,8,1.63000011444,0.40477399635,NA,NA
"9",1960-09-01,1960,9,1.63000011444,0.40477399635,NA,NA
"10",1960-10-01,1960,10,1.63000011444,0.40477399635,NA,NA
"11",1960-11-01,1960,11,1.63000011444,0.40477399635,NA,NA
"12",1960-12-01,1960,12,1.63000011444,0.40477399635,NA,NA
"13",1961-01-01,1961,1,1.57,0.40477399635,NA,NA
"14",1961-02-01,1961,2,1.57,0.40477399635,NA,NA
"15",1961-03-01,1961,3,1.57,0.40477399635,NA,NA
"16",1961-04-01,1961,4,1.57,0.40477399635,NA,NA
"17",1961-05-01,1961,5,1.57,0.40477399635,NA,NA
"18",1961-06-01,1961,6,1.57,0.40477399635,NA,NA
"19",1961-07-01,1961,7,1.57,0.40477399635,NA,NA
"20",1961-08-01,1961,8,1.57,0.40477399635,NA,NA
"21",1961-09-01,1961,9,1.57,0.40477399635,NA,NA
"22",1961-10-01,1961,10,1.57,0.40477399635,NA,NA
"23",1961-11-01,1961,11,1.57,0.40477399635,NA,NA
"24",1961-12-01,1961,12,1.57,0.40477399635,NA,NA
"25",1962-01-01,1962,1,1.52,0.40477399635,NA,NA
"26",1962-02-01,1962,2,1.52,0.40477399635,NA,NA
"27",1962-03-01,1962,3,1.52,0.40477399635,NA,NA
"28",1962-04-01,1962,4,1.52,0.40477399635,NA,NA
"29",1962-05-01,1962,5,1.52,0.40477399635,NA,NA
"30",1962-06-01,1962,6,1.52,0.40477399635,NA,NA
"31",1962-07-01,1962,7,1.52,0.40477399635,NA,NA
"32",1962-08-01,1962,8,1.52,0.40477399635,NA,NA
"33",1962-09-01,1962,9,1.52,0.40477399635,NA,NA
"34",1962-10-01,1962,10,1.52,0.40477399635,NA,NA
"35",1962-11-01,1962,11,1.52,0.40477399635,NA,NA
"36",1962-12-01,1962,12,1.52,0.40477399635,NA,NA
"37",1963-01-01,1963,1,1.5,0.39135113795,NA,NA
"38",1963-02-01,1963,2,1.5,0.39135113795,NA,NA
"39",1963-03-01,1963,3,1.5,0.39135113795,NA,NA
"40",1963-04-01,1963,4,1.5,0.39135113795,NA,NA
"41",1963-05-01,1963,5,1.5,0.39135113795,NA,NA
"42",1963-06-01,1963,6,1.5,0.39135113795,NA,NA
"43",1963-07-01,1963,7,1.5,0.39135113795,NA,NA
"44",1963-08-01,1963,8,1.5,0.39135113795,NA,NA
"45",1963-09-01,1963,9,1.5,0.39135113795,NA,NA
"46",1963-10-01,1963,10,1.5,0.39135113795,NA,NA
"47",1963-11-01,1963,11,1.5,0.39135113795,NA,NA
"48",1963-12-01,1963,12,1.5,0.39135113795,NA,NA
"49",1964-01-01,1964,1,1.45,0.38414980236,NA,NA
"50",1964-02-01,1964,2,1.45,0.38414980236,NA,NA
"51",1964-03-01,1964,3,1.45,0.38414980236,NA,NA
"52",1964-04-01,1964,4,1.45,0.38414980236,NA,NA
"53",1964-05-01,1964,5,1.45,0.38414980236,NA,NA
"54",1964-06-01,1964,6,1.45,0.38414980236,NA,NA
"55",1964-07-01,1964,7,1.45,0.38414980236,NA,NA
"56",1964-08-01,1964,8,1.45,0.38414980236,NA,NA
"57",1964-09-01,1964,9,1.45,0.38414980236,NA,NA
"58",1964-10-01,1964,10,1.45,0.38414980236,NA,NA
"59",1964-11-01,1964,11,1.45,0.38414980236,NA,NA
"60",1964-12-01,1964,12,1.45,0.38414980236,NA,NA
"61",1965-01-01,1965,1,1.42,0.41076610522,NA,NA
"62",1965-02-01,1965,2,1.42,0.41076610522,NA,NA
"63",1965-03-01,1965,3,1.42,0.41076610522,NA,NA
"64",1965-04-01,1965,4,1.42,0.41076610522,NA,NA
"65",1965-05-01,1965,5,1.42,0.41076610522,NA,NA
"66",1965-06-01,1965,6,1.42,0.41076610522,NA,NA
"67",1965-07-01,1965,7,1.42,0.41076610522,NA,NA
"68",1965-08-01,1965,8,1.42,0.41076610522,NA,NA
"69",1965-09-01,1965,9,1.42,0.41076610522,NA,NA
"70",1965-10-01,1965,10,1.42,0.41076610522,NA,NA
"71",1965-11-01,1965,11,1.42,0.41076610522,NA,NA
"72",1965-12-01,1965,12,1.42,0.41076610522,NA,NA
"73",1966-01-01,1966,1,1.36,0.42492866514,NA,NA
"74",1966-02-01,1966,2,1.36,0.42492866514,NA,NA
"75",1966-03-01,1966,3,1.36,0.42492866514,NA,NA
"76",1966-04-01,1966,4,1.36,0.42492866514,NA,NA
"77",1966-05-01,1966,5,1.36,0.42492866514,NA,NA
"78",1966-06-01,1966,6,1.36,0.42492866514,NA,NA
"79",1966-07-01,1966,7,1.36,0.42492866514,NA,NA
"80",1966-08-01,1966,8,1.36,0.42492866514,NA,NA
"81",1966-09-01,1966,9,1.36,0.42492866514,NA,NA
"82",1966-10-01,1966,10,1.36,0.42492866514,NA,NA
"83",1966-11-01,1966,11,1.36,0.42492866514,NA,NA
"84",1966-12-01,1966,12,1.36,0.42492866514,NA,NA
"85",1967-01-01,1967,1,1.33,0.45664737628,NA,NA
"86",1967-02-01,1967,2,1.33,0.45664737628,NA,NA
"87",1967-03-01,1967,3,1.33,0.45664737628,NA,NA
"88",1967-04-01,1967,4,1.33,0.45664737628,NA,NA
"89",1967-05-01,1967,5,1.33,0.45664737628,NA,NA
"90",1967-06-01,1967,6,1.33,0.45664737628,NA,NA
"91",1967-07-01,1967,7,1.33,0.45664737628,NA,NA
"92",1967-08-01,1967,8,1.33,0.45664737628,NA,NA
"93",1967-09-01,1967,9,1.33,0.45664737628,NA,NA
"94",1967-10-01,1967,10,1.33,0.45664737628,NA,NA
"95",1967-11-01,1967,11,1.33,0.45664737628,NA,NA
"96",1967-12-01,1967,12,1.33,0.45664737628,NA,NA
