"","Datum","Day_ahead","Einheit"
"1",2021-12-31,82.58,"Euro/MWh"
"2",2022-01-01,47.35,"Euro/MWh"
"3",2022-01-02,76.11,"Euro/MWh"
"4",2022-01-03,153.92,"Euro/MWh"
"5",2022-01-04,107.87,"Euro/MWh"
"6",2022-01-05,194.1,"Euro/MWh"
"7",2022-01-06,167.18,"Euro/MWh"
"8",2022-01-07,165.9,"Euro/MWh"
"9",2022-01-08,146.56,"Euro/MWh"
"10",2022-01-09,261.55,"Euro/MWh"
"11",2022-01-10,255.41,"Euro/MWh"
"12",2022-01-11,233.32,"Euro/MWh"
"13",2022-01-12,180.16,"Euro/MWh"
"14",2022-01-13,178.76,"Euro/MWh"
"15",2022-01-14,216,"Euro/MWh"
"16",2022-01-15,133.1,"Euro/MWh"
"17",2022-01-16,129.31,"Euro/MWh"
"18",2022-01-17,235.87,"Euro/MWh"
"19",2022-01-18,172.18,"Euro/MWh"
"20",2022-01-19,117.7,"Euro/MWh"
"21",2022-01-20,159.27,"Euro/MWh"
"22",2022-01-21,175.76,"Euro/MWh"
"23",2022-01-22,193.69,"Euro/MWh"
"24",2022-01-23,245.94,"Euro/MWh"
"25",2022-01-24,297.29,"Euro/MWh"
"26",2022-01-25,234.98,"Euro/MWh"
"27",2022-01-26,120.71,"Euro/MWh"
"28",2022-01-27,174.35,"Euro/MWh"
"29",2022-01-28,92.13,"Euro/MWh"
"30",2022-01-29,55.3,"Euro/MWh"
"31",2022-01-30,195.2,"Euro/MWh"
"32",2022-01-31,150.25,"Euro/MWh"
"33",2022-02-01,140.22,"Euro/MWh"
"34",2022-02-02,193.56,"Euro/MWh"
"35",2022-02-03,132.37,"Euro/MWh"
"36",2022-02-04,88.89,"Euro/MWh"
"37",2022-02-05,52.78,"Euro/MWh"
"38",2022-02-06,84.68,"Euro/MWh"
"39",2022-02-07,137.81,"Euro/MWh"
"40",2022-02-08,165.89,"Euro/MWh"
"41",2022-02-09,192.82,"Euro/MWh"
"42",2022-02-10,184.58,"Euro/MWh"
"43",2022-02-11,143.05,"Euro/MWh"
"44",2022-02-12,83.58,"Euro/MWh"
"45",2022-02-13,102.22,"Euro/MWh"
"46",2022-02-14,155,"Euro/MWh"
"47",2022-02-15,117.38,"Euro/MWh"
"48",2022-02-16,68.64,"Euro/MWh"
"49",2022-02-17,117.63,"Euro/MWh"
"50",2022-02-18,39.62,"Euro/MWh"
"51",2022-02-19,67.28,"Euro/MWh"
"52",2022-02-20,75.42,"Euro/MWh"
"53",2022-02-21,123.24,"Euro/MWh"
"54",2022-02-22,130.09,"Euro/MWh"
"55",2022-02-23,123.39,"Euro/MWh"
"56",2022-02-24,119.96,"Euro/MWh"
"57",2022-02-25,225.43,"Euro/MWh"
"58",2022-02-26,182.41,"Euro/MWh"
"59",2022-02-27,208.3,"Euro/MWh"
"60",2022-02-28,241.4,"Euro/MWh"
"61",2022-03-01,278.78,"Euro/MWh"
"62",2022-03-02,338.2,"Euro/MWh"
"63",2022-03-03,358.78,"Euro/MWh"
"64",2022-03-04,344.4,"Euro/MWh"
"65",2022-03-05,340.8,"Euro/MWh"
