"Datum","Jahr","Monat","Haushalt & Gewerbe","Industrie","Gesamtverbrauch 2022","Durchschnittsverbrauch 2018-2021","Durchschnittstemperatur 2023","Gesamtverbrauch 2023","Rueckgang"
2023-01-01,2023,1,1709,1589,4012,4156,3.5,3298,-17.8
2023-02-01,2023,2,1709,1651,3652,4069,3.1,3360,-8
2023-03-01,2023,3,1409,1500,3218,3486,5.7,2909,-9.6
2023-04-01,2023,4,1050,1314,2562,2475,7.5,2364,-7.7
2023-05-01,2023,5,475,1080,1624,2019,13,1555,-4.2
2023-06-01,2023,6,224,1053,1372,1561,18.5,1277,-6.9
2023-07-01,2023,7,210,988,1220,1528,18.7,1198,-1.8
2023-08-01,2023,8,195,1053,1159,1489,18.2,1248,7.7
2023-09-01,2023,9,239,1057,1464,1765,17.2,1296,-11.5
2023-10-01,2023,10,NA,NA,1720,2514,NA,NA,NA
2023-11-01,2023,11,NA,NA,2558,3483,NA,NA,NA
2023-12-01,2023,12,NA,NA,3463,3818,NA,NA,NA
