TIME;Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023);Germany
2019-11;1;1,2
2019-12;1,3;1,5
2020-01;1,4;1,6
2020-02;1,2;1,7
2020-03;0,7;1,3
2020-04;0,3;0,8
2020-05;0,1;0,5
2020-06;0,3;0,8
2020-07;0,4;0
2020-08;-0,2;-0,1
2020-09;-0,3;-0,4
2020-10;-0,3;-0,5
2020-11;-0,3;-0,7
2020-12;-0,3;-0,7
2021-01;0,9;1,6
2021-02;0,9;1,6
2021-03;1,3;2
2021-04;1,6;2,1
2021-05;2;2,4
2021-06;1,9;2,1
2021-07;2,2;3,1
2021-08;3;3,4
2021-09;3,4;4,1
2021-10;4,1;4,6
2021-11;4,9;6
2021-12;5;5,7
2022-01;5,1;5,1
2022-02;5,9;5,5
2022-03;7,4;7,6
2022-04;7,4;7,8
2022-05;8,1;8,7
2022-06;8,6;8,2
2022-07;8,9;8,5
2022-08;9,1;8,8
2022-09;9,9;10,9
2022-10;10,6;11,6
2022-11;10,1;11,3
2022-12;9,2;9,6
2023-01;8,6;9,2
2023-02;8,5;9,3
2023-03;6,9;7,8
2023-04;7;7,6
2023-05;6,1;6,3
2023-06;5,5;6,8
2023-07;5,3;6,5
2023-08;5,2;6,4
2023-09;4,3;4,3
