"Monat","2020","2021","2022","2023","Durchschnitt2000_2022"
"Jan",3.48,0.63,2.79,3.62,0.969565217391304
"Feb",5.29,1.71,4.47,3.21,1.76391304347826
"Mrz",5.27,4.77,5.09,5.74,4.6795652173913
"Apr",10.35,6.02,7.75,7.53,9.06695652173913
"Mai",11.91,10.72,14.44,13.08,13.1978260869565
"Jun",16.89,18.98,18.33,18.56,16.8713043478261
"Jul",17.69,18.37,19.13,18.72,18.4247826086957
"Aug",19.95,16.4,20.23,18.26,18.084347826087
"Sep",14.82,15.16,13.37,17.29,14.0352173913043
"Okt",10.21,9.63,12.52,NA,9.85869565217391
"Nov",6.18,4.9,6.35,NA,5.34260869565217
"Dez",3.08,2.58,1.8,NA,2.12608695652174
