Jahr;Deutschland;Durchschnitt (1881-2022);Durchschnitt (1971-2000);Abweichung zum Durchschnitt Gesamt;Abweichung zum Durchschnitt 1971-2000
1881;7,31;8,391760563;8,556666667;-1,081760563;-1,246666667
1882;8,34;8,391760563;8,556666667;-0,051760563;-0,216666667
1883;7,88;8,391760563;8,556666667;-0,511760563;-0,676666667
1884;8,57;8,391760563;8,556666667;0,178239437;0,013333333
1885;7,74;8,391760563;8,556666667;-0,651760563;-0,816666667
1886;8,02;8,391760563;8,556666667;-0,371760563;-0,536666667
1887;6,95;8,391760563;8,556666667;-1,441760563;-1,606666667
1888;6,85;8,391760563;8,556666667;-1,541760563;-1,706666667
1889;7,38;8,391760563;8,556666667;-1,011760563;-1,176666667
1890;7,31;8,391760563;8,556666667;-1,081760563;-1,246666667
1891;7,43;8,391760563;8,556666667;-0,961760563;-1,126666667
1892;7,5;8,391760563;8,556666667;-0,891760563;-1,056666667
1893;7,91;8,391760563;8,556666667;-0,481760563;-0,646666667
1894;8,13;8,391760563;8,556666667;-0,261760563;-0,426666667
1895;7,31;8,391760563;8,556666667;-1,081760563;-1,246666667
1896;7,58;8,391760563;8,556666667;-0,811760563;-0,976666667
1897;7,95;8,391760563;8,556666667;-0,441760563;-0,606666667
1898;8,5;8,391760563;8,556666667;0,108239437;-0,056666667
1899;8,09;8,391760563;8,556666667;-0,301760563;-0,466666667
1900;8,35;8,391760563;8,556666667;-0,041760563;-0,206666667
1901;7,64;8,391760563;8,556666667;-0,751760563;-0,916666667
1902;7,17;8,391760563;8,556666667;-1,221760563;-1,386666667
1903;8,35;8,391760563;8,556666667;-0,041760563;-0,206666667
1904;8,36;8,391760563;8,556666667;-0,031760563;-0,196666667
1905;7,95;8,391760563;8,556666667;-0,441760563;-0,606666667
1906;8,29;8,391760563;8,556666667;-0,101760563;-0,266666667
1907;7,8;8,391760563;8,556666667;-0,591760563;-0,756666667
1908;7,47;8,391760563;8,556666667;-0,921760563;-1,086666667
1909;7,35;8,391760563;8,556666667;-1,041760563;-1,206666667
1910;8,41;8,391760563;8,556666667;0,018239437;-0,146666667
1911;9,05;8,391760563;8,556666667;0,658239437;0,493333333
1912;7,86;8,391760563;8,556666667;-0,531760563;-0,696666667
1913;8,53;8,391760563;8,556666667;0,138239437;-0,026666667
1914;8,52;8,391760563;8,556666667;0,128239437;-0,036666667
1915;7,91;8,391760563;8,556666667;-0,481760563;-0,646666667
1916;8,45;8,391760563;8,556666667;0,058239437;-0,106666667
1917;7,54;8,391760563;8,556666667;-0,851760563;-1,016666667
1918;8,53;8,391760563;8,556666667;0,138239437;-0,026666667
1919;7,32;8,391760563;8,556666667;-1,071760563;-1,236666667
