TIME;GHG-Emissions
2010-Q1;270.149,25
2010-Q2;236.640,32
2010-Q3;223.405,01
2010-Q4;275.194,10
2011-Q1;266.929,18
2011-Q2;226.813,81
2011-Q3;221.084,49
2011-Q4;261.811,21
2012-Q1;271.848,72
2012-Q2;231.090,11
2012-Q3;221.528,87
2012-Q4;263.561,17
2013-Q1;279.390,60
2013-Q2;235.422,89
2013-Q3;227.463,98
2013-Q4;260.703,31
2014-Q1;258.023,76
2014-Q2;221.390,87
2014-Q3;215.631,88
2014-Q4;254.197,72
2015-Q1;262.096,82
2015-Q2;222.167,77
2015-Q3;224.946,89
2015-Q4;254.784,99
2016-Q1;261.978,86
2016-Q2;226.749,31
2016-Q3;215.965,53
2016-Q4;256.781,46
2017-Q1;267.046,52
2017-Q2;223.941,76
2017-Q3;215.932,48
2017-Q4;242.906,39
2018-Q1;256.620,13
2018-Q2;211.067,17
2018-Q3;213.092,61
2018-Q4;242.045,66
2019-Q1;239.842,79
2019-Q2;203.930,94
2019-Q3;193.600,29
2019-Q4;226.030,23
2020-Q1;216.956,88
2020-Q2;160.502,42
2020-Q3;173.726,94
2020-Q4;214.501,80
2021-Q1;214.387,59
2021-Q2;186.217,32
2021-Q3;178.625,59
2021-Q4;217.484,54
2022-Q1;214.675,43
2022-Q2;187.717,82
2022-Q3;184.915,10
2022-Q4;206.682,23
2023-Q1;209.949,20
