Jahr;Energiewirtschaft;Energiewirtschaft - Ziel;Industrie;Industrie - Ziel;Gebäude;Gebäude - Ziel;Verkehr;Verkehr - Ziel;Landwirtschaft;Landwirtschaft - Ziel;Abfallwirtschaft und Sonstiges;Abfallwirtschaft und Sonstiges - Ziel
1990;474,5989164;;278,9000282;;210,1130337;;163,2753711;;83,12854101;;41,20889137;
1991;459,7625948;;253,7073692;;208,528117;;166,2306934;;74,22759177;;42,60821356;
1992;435,4830709;;243,0684966;;190,4816354;;172,1036761;;71,41675326;;43,07200269;
1993;425,7155494;;233,3692305;;197,2019107;;176,4324691;;70,93741009;;42,65010223;
1994;419,8008492;;237,1478047;;186,4373361;;172,4039105;;70,51083488;;41,49183546;
1995;406,7027897;;238,9057705;;187,9086697;;176,071343;;70,93625739;;40,13597734;
1996;412,6364339;;227,7609917;;211,1334912;;175,6573548;;72,41868434;;38,26199383;
1997;390,7954849;;232,3553259;;197,8982702;;176,0715782;;70,23434932;;34,83235222;
1998;390,7263032;;215,3477709;;189,7580252;;179,3444393;;70,1973334;;32,23018006;
1999;379,7506474;;205,2957871;;173,0532353;;184,4564986;;70,44668464;;30,17797835;
2000;390,6153865;;204,8855828;;167,0255396;;180,5043835;;68,91137443;;28,24956389;
2001;400,6005135;;194,2011102;;187,3135601;;176,6370521;;69,90886243;;26,20797469;
2002;400,7147656;;191,9243935;;174,3146493;;174,1307938;;67,46264839;;24,49061299;
2003;412,654218;;192,7025395;;166,9691545;;167,798363;;66,56659871;;22,69914024;
2004;407,3471816;;193,5299672;;156,3668651;;167,3855729;;65,54353489;;20,11801891;
2005;400,3929961;;187,5024515;;153,9502079;;159,3813215;;65,30632208;;18,45367151;
2006;400,8152519;;192,5467431;;162,2952076;;155,417748;;64,43899697;;16,3834141;
2007;405,6352631;;201,2533224;;126,087198;;152,5557916;;64,46529174;;14,86819377;
2008;384,4575602;;197,7868884;;151,7651957;;152,1899909;;65,29663206;;13,47805114;
2009;357,426465;;172,7374999;;139,0697477;;151,5784755;;65,42510627;;12,09871031;
2010;368,8157212;;186,2082699;;148,3272147;;152,6765305;;65,49800291;;10,85339483;
2011;366,039948;;183,2620011;;127,2967599;;154,7658213;;66,15046367;;9,987164844;
2012;376,9018404;;177,8164667;;130,186928;;153,2864537;;65,98868401;;9,167353812;
2013;382,7448438;;178,3349006;;139,7578037;;157,4246289;;66,8625599;;8,380636359;
2014;361,4859844;;178,5079406;;118,3150274;;158,598885;;68,70668749;;7,779894021;
2015;349,3866619;;185,9207115;;124,0849496;;161,5202531;;68,57015629;;7,175139475;
2016;344,3732259;;189,9433657;;124,5991124;;164,6233644;;68,36558365;;6,655161538;
2017;322,7450162;;195,4933813;;122,3979855;;167,4309561;;67,23411475;;6,281325569;
2018;309,3157204;;187,6084086;;116,1399034;;161,8335906;;65,3762993;;5,897267755;
2019;257,60377;;181,9893197;;121,4154848;;163,6584589;;64,59004268;;5,376593381;
2020;217,928113;280;175,6980982;186;123,1914055;118;145,3996727;150;63,80437171;70;4,901028232;9
2021;245,1331492;NA;183,2522006;182;118,0260528;113;146,7862059;145;62,66635233;68;4,494047544;9
2022;255,8613869;257;164,155381;176,8608666;111,7276743;107,4415497;147,8574057;138,8015327;61,72121082;67,59262752;4,291346152;8,500661384
2023;;NA;;173,4490523;;100,9057841;;132,6695485;;67,32655461;;9,026825788
2024;;NA;;166,4490523;;95,90578411;;126,6695485;;66,32655461;;8,026825788
2025;;NA;;158,4490523;;90,90578411;;121,6695485;;64,32655461;;8,026825788
2026;;NA;;150,4490523;;85,90578411;;115,6695485;;63,32655461;;7,026825788
2027;;NA;;141,4490523;;80,90578411;;110,6695485;;62,32655461;;7,026825788
2028;;NA;;133,4490523;;75,90578411;;103,6695485;;60,32655461;;6,026825788
2029;;NA;;126,4490523;;70,90578411;;94,66954854;;58,32655461;;6,026825788
2030;;108,1423266;;119,4490523;;65,90578411;;83,66954854;;57,32655461;;5,026825788
