"","Datum","WZ","Einheit","AUSLAND","INLAND","INSGESAMT"
"1",1991-01-01,"WZ08-C","X13 und kalenderbereinigt",34.6,83.8,55.8
"2",1991-02-01,"WZ08-C","X13 und kalenderbereinigt",33.9,80.1,53.4
"3",1991-03-01,"WZ08-C","X13 und kalenderbereinigt",34,81.3,54.3
"4",1991-04-01,"WZ08-C","X13 und kalenderbereinigt",33.7,79.2,53.2
"5",1991-05-01,"WZ08-C","X13 und kalenderbereinigt",33.3,78.5,52.9
"6",1991-06-01,"WZ08-C","X13 und kalenderbereinigt",33.9,79.9,53.7
"7",1991-07-01,"WZ08-C","X13 und kalenderbereinigt",34.4,76.4,52.5
"8",1991-08-01,"WZ08-C","X13 und kalenderbereinigt",36.8,80.1,55.3
"9",1991-09-01,"WZ08-C","X13 und kalenderbereinigt",33.7,77.4,52.5
"10",1991-10-01,"WZ08-C","X13 und kalenderbereinigt",34.6,78.9,53.7
"11",1991-11-01,"WZ08-C","X13 und kalenderbereinigt",34.6,80.8,54.5
"12",1991-12-01,"WZ08-C","X13 und kalenderbereinigt",36.6,79.5,54.9
"13",1992-01-01,"WZ08-C","X13 und kalenderbereinigt",34,81.9,54.6
"14",1992-02-01,"WZ08-C","X13 und kalenderbereinigt",34.4,82.1,54.9
"15",1992-03-01,"WZ08-C","X13 und kalenderbereinigt",35,80.6,54.7
"16",1992-04-01,"WZ08-C","X13 und kalenderbereinigt",33.7,79.6,53.3
"17",1992-05-01,"WZ08-C","X13 und kalenderbereinigt",32.8,78.1,52.2
"18",1992-06-01,"WZ08-C","X13 und kalenderbereinigt",32.4,75.7,51.2
"19",1992-07-01,"WZ08-C","X13 und kalenderbereinigt",32.1,73.5,49.8
"20",1992-08-01,"WZ08-C","X13 und kalenderbereinigt",32.4,74.2,50.3
"21",1992-09-01,"WZ08-C","X13 und kalenderbereinigt",31.8,75.8,50.8
"22",1992-10-01,"WZ08-C","X13 und kalenderbereinigt",29.4,72,47.7
"23",1992-11-01,"WZ08-C","X13 und kalenderbereinigt",31.6,70.1,48.1
"24",1992-12-01,"WZ08-C","X13 und kalenderbereinigt",31.5,73,49.2
"25",1993-01-01,"WZ08-C","X13 und kalenderbereinigt",30.4,71.7,48.1
"26",1993-02-01,"WZ08-C","X13 und kalenderbereinigt",30.8,68.1,46.7
"27",1993-03-01,"WZ08-C","X13 und kalenderbereinigt",30.1,66.6,45.8
"28",1993-04-01,"WZ08-C","X13 und kalenderbereinigt",30.6,66.2,45.6
"29",1993-05-01,"WZ08-C","X13 und kalenderbereinigt",31.3,67.6,46.8
