Jahr_Monat;Bergbau;Handel_und_Gewerbe;Energieversorgung;Änderung_Bergbau;Änderung_Handel;Änderung_Energieversorgung
1991-01;269,8;75,7;92,7;;;
1991-02;270,7;74,8;95,2;;;
1991-03;275,7;74,3;91,1;;;
1991-04;263,2;73,7;92,6;;;
1991-05;263,1;72,5;96,2;;;
1991-06;254,3;75,6;94,7;;;
1991-07;263,3;73,5;91,4;;;
1991-08;258,9;72,5;90,6;;;
1991-09;247,8;71,8;91,7;;;
1991-10;253,5;73,3;92;;;
1991-11;256,8;74,1;93,8;;;
1991-12;249,8;74;94;;;
1992-01;259,2;74,9;94;-0,039288362;-0,010568032;0,014023732
1992-02;259,5;76,1;93,7;-0,041374215;0,017379679;-0,015756303
1992-03;259,7;74;94,2;-0,058034095;-0,004037685;0,03402854
1992-04;259,5;73,9;93,8;-0,014057751;0,002713704;0,012958963
1992-05;251,4;73,3;91,9;-0,044469783;0,011034483;-0,044698545
1992-06;250,4;72,2;91,3;-0,015336217;-0,044973545;-0,035902851
1992-07;252,8;70,9;92,8;-0,039878466;-0,03537415;0,015317287
1992-08;253,1;71,3;92,2;-0,022402472;-0,016551724;0,017660044
1992-09;246;70,5;93,2;-0,007263923;-0,01810585;0,016357688
1992-10;242,7;70,4;95;-0,04260355;-0,039563438;0,032608696
1992-11;233,7;69,3;91,5;-0,089953271;-0,064777328;-0,024520256
1992-12;222;68,3;90,1;-0,111289031;-0,077027027;-0,041489362
1993-01;243,8;67,5;91,2;-0,05941358;-0,098798398;-0,029787234
1993-02;242,8;66,4;93,2;-0,064354528;-0,127463863;-0,005336179
1993-03;240,8;66,5;92,5;-0,07277628;-0,101351351;-0,018046709
1993-04;236,7;66;90,1;-0,087861272;-0,106901218;-0,039445629
1993-05;233;66,1;88,5;-0,073190135;-0,098226467;-0,036996736
1993-06;225,4;65,6;90,5;-0,099840256;-0,091412742;-0,008762322
1993-07;227;64,3;89,3;-0,102056962;-0,093088858;-0,037715517
1993-08;234;67;90,4;-0,075464243;-0,060308555;-0,019522777
1993-09;225,9;66,3;91,8;-0,081707317;-0,059574468;-0,015021459
1993-10;225,6;66,7;90,5;-0,070457355;-0,052556818;-0,047368421
1993-11;215,1;66,2;95,7;-0,079589217;-0,044733045;0,045901639
1993-12;220,4;66,9;92,6;-0,007207207;-0,020497804;0,027746948
1994-01;223;66,7;91,2;-0,085315833;-0,011851852;0
1994-02;224,3;67,7;92,8;-0,076194399;0,019578313;-0,004291845
1994-03;221,1;67,2;91,9;-0,081810631;0,010526316;-0,006486486
1994-04;222,4;68,1;93,4;-0,060414026;0,031818182;0,036625971
1994-05;222,3;67,8;92,3;-0,045922747;0,025718608;0,042937853
1994-06;225,2;68,2;92,7;-0,000887311;0,039634146;0,024309392
1994-07;215,7;68;94,8;-0,049779736;0,057542768;0,061590146
1994-08;214,1;68,1;92,8;-0,085042735;0,01641791;0,026548673
1994-09;219,9;68,7;92,1;-0,026560425;0,036199095;0,003267974
1994-10;224,8;70,3;93,6;-0,003546099;0,053973013;0,034254144
1994-11;227,9;70,5;88,5;0,059507206;0,064954683;-0,07523511
1994-12;221,5;70,7;91;0,004990926;0,056801196;-0,017278618
1995-01;208,4;69,4;93,6;-0,065470852;0,04047976;0,026315789
1995-02;222,5;70,3;90,2;-0,008024967;0,038404727;-0,028017241
1995-03;222,4;69,5;94,1;0,005879692;0,03422619;0,023939064
1995-04;217,5;69,7;93,5;-0,022032374;0,02349486;0,001070664
1995-05;220,8;70,2;94,1;-0,006747638;0,03539823;0,019501625
1995-06;220,9;69,5;95,1;-0,019094139;0,019061584;0,025889968
1995-07;224,3;69,3;92,9;0,03987019;0,019117647;-0,020042194
1995-08;219,4;68,4;93,9;0,024754787;0,004405286;0,011853448
1995-09;223,4;69,7;95;0,015916326;0,014556041;0,031487514
1995-10;208,4;68;90,7;-0,072953737;-0,032716927;-0,030982906
1995-11;211,1;68,5;96,1;-0,073716542;-0,028368794;0,085875706
1995-12;208,8;68,6;99,3;-0,057336343;-0,02970297;0,091208791
1996-01;206,8;68,8;97,4;-0,007677543;-0,008645533;0,040598291
1996-02;207,1;68,3;100,4;-0,069213483;-0,028449502;0,11308204
1996-03;213,9;68,5;101,6;-0,038219424;-0,014388489;0,079702444
1996-04;203,8;68,4;96;-0,062988506;-0,018651363;0,026737968
1996-05;212,1;68,9;100,2;-0,039402174;-0,018518519;0,064824655
1996-06;206,8;69,3;98,6;-0,063829787;-0,002877698;0,036803365
1996-07;199,5;68,6;98,5;-0,110566206;-0,01010101;0,060279871
1996-08;203,1;69,5;99,7;-0,074293528;0,016081871;0,061767838
