Jahr;Verarbeitendes Gewerbe;Herstellung mineralischer Produkte;Chemische Industrie;Herstellung von Metallen;übrige Prozesse und Produktverwendungen
1990;185,7;23,5;32,3;27,9;9,5
1991;164,1;21,3;31,5;26,9;9,8
1992;153,5;22,1;33,8;23,3;10,3
1993;142,6;22,5;31,6;23,6;13,1
1994;140,8;24,1;34,2;24,7;13,3
1995;144,1;24,5;34,1;22,6;13,6
1996;134,9;23,1;34;21,8;14
1997;138,9;23,6;31,7;23,5;14,7
1998;134,3;23,6;20,4;21,8;15,2
1999;131,9;23,7;16,4;19,4;13,9
2000;128,2;23,3;15,2;24,2;14
2001;121,2;21,1;16,2;21,3;14,4
2002;120,5;20,1;17,4;19,8;14,1
2003;117,2;20,9;17;23,5;14,1
2004;116,3;21,4;17,7;23,6;14,4
2005;113,4;20,1;17,3;22,2;14,4
2006;118,2;20,6;16,4;22,3;14,9
2007;126,1;21,9;18,8;19,1;15,4
2008;126,2;20,9;17,5;18,1;15,2
2009;108,7;18,5;17,2;13,1;15,3
2010;124,4;19;10,4;16,7;15,8
2011;121,4;20,2;9,7;15,9;16,1
2012;116,9;19,7;9,6;15,4;16,3
2013;117,6;19,1;9,6;15,9;16,2
2014;117,8;19,6;7,6;17,2;16,2
2015;126,2;19,2;6,9;16,9;16,6
2016;128,4;19,3;7;18,6;16,7
2017;130;19,9;6,9;21,8;16,8
2018;125,1;19,8;6,8;20,1;15,9
2019;122,5;19,6;6,5;18,2;15,2
2020;120,6;19,2;6,6;15,7;13,7
2021;126,1;19,9;6,4;17,6;13,2
2022;111,5;18,9;5,2;16,3;12,3
