"","MaStR.Nr..der.Stromerzeugungseinheit","Anlagenbetreiber","Anzeige.Name.der.Stromerzeugungseinheit","PLZ.der.Einheit","Ort.der.Einheit","Straße.der.Einheit","Hausnummer.der.Einheit","Bundesland.der.Einheit","Datum.der.erstmaligen.Inbetriebnahme.der.Einheit","Datum.der.endgültigen.Stilllegung.der.Einheit..Datum.Jahr.","Kraftwerksstatus.der.Einheit","Energieträger","Hauptbrennstoff","Auswertung.Energieträger","Wärmeauskopplung..KWK...ja.nein.","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes.","Bruttoleistung.in.MW","Nettonennleistung..elektrische.Wirkleistung..in.MW","Ist.die.Stromerzeugungseinheit.ein.Bestandteil.eines.Grenzkraftwerkes...ja..Nettonennleistung.der.Einspeisung.in.ein.deutsches.Netz.","Technologie.der.Stromerzeugung","Volleinspeisung.oder.Teileinspeisung.","Anschlussnetzbetreiber","Spannungsebene"
"1","SEE915851127786","Stadtwerke Aachen AG","BHKW Schwarzer Weg","52070","Aachen","Schwarzer Weg","19 b","Nordrhein-Westfalen","05.04.2023","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","22,54","21,51",NA,"Verbrennungsmotor","Volleinspeisung","Regionetz GmbH (SNB911641710114)","Mittelspannung"
"2","SEE915851127786","Stadtwerke Aachen AG","BHKW Schwarzer Weg","52070","Aachen","Schwarzer Weg","19 b","Nordrhein-Westfalen","05.04.2023","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","22,54","21,51",NA,"Verbrennungsmotor","Volleinspeisung","Regionetz GmbH (SNB911641710114)","Mittelspannung"
"3","SEE946736241334","Palm Power GmbH & Co. KG","HKW Aalen","73432","Aalen","Palm Allee","1","Baden-Württemberg","03.11.2021","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","78,03","77,15",NA,"Gasturbinen mit nachgeschalteter Dampfturbine","Volleinspeisung","Netze BW GmbH (SNB948311994307)","Hochspannung; Hochspannung"
"4","SEE901440918859","Rheinkraftwerk Albbruck-Dogern AG","RADAG M1","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"5","SEE934395809149","Rheinkraftwerk Albbruck-Dogern AG","RADAG M2","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"6","SEE991917215321","Rheinkraftwerk Albbruck-Dogern AG","RADAG M3","79774","Albbruck","Kraftwerkstraße","34","Baden-Württemberg","01.01.1934","","In Betrieb","Wasser","","Wasser","Nein","ja","27,94","27,94",27.94,"","Volleinspeisung","Amprion GmbH (SNB976890256486)","Hochspannung"
"7","SEE902796244388","Sappi Alfeld","Turbine 4","31061","Alfeld","Mühlenmasch","1","Niedersachsen","21.09.1970","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","14,00","11,00",NA,"Gegendruckmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","Überlandwerk Leinetal GmbH (SNB910956210043)","Mittelspannung"
"8","SEE973279238699","Sappi Alfeld","Turbine 5","31061","Alfeld","Mühlenmasch","1","Niedersachsen","18.06.2003","","In Betrieb","Biomasse","Brennlauge, Schwarzlauge, Sulfitablauge","Biomasse","Ja","nein","16,75","13,00",NA,"Gegendruckmaschine mit Entnahme","Volleinspeisung","Überlandwerk Leinetal GmbH (SNB910956210043)","Mittelspannung"
"9","SEE971282697380","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau Block 4 GT A (solo)","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.09.1971","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","50,00","45,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"10","SEE963975943188","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau GT B","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.11.1973","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","60,00","57,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"11","SEE904161631090","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau GT C","73776","Altbach","Industriestraße","11","Baden-Württemberg","01.09.1975","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Nein","nein","87,00","81,00",NA,"Gasturbinen ohne Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"12","SEE965782597448","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau HKW 2 DT (Solobetrieb)","73776","Altbach","Industriestraße","11","Baden-Württemberg","29.05.1997","","In Betrieb","Steinkohle","Steinkohlen","Steinkohle","Ja","nein","354,00","323,00",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","TransnetBW GmbH (SNB984944755380)","Höchstspannung"
"13","SEE975556152230","EnBW Energie Baden-Württemberg AG","Heizkraftwerk Altbach/Deizisau HKW 2 GT E (Solobetrieb)","73776","Altbach","Industriestraße","11","Baden-Württemberg","30.04.1997","","In Betrieb","Erdgas","Erdgas, Erdölgas","Erdgas","Ja","nein","65,00","65,00",NA,"Gasturbinen mit Abhitzekessel","Teileinspeisung (einschließlich Eigenverbrauch)","Netze BW GmbH (SNB948311994307)","Hochspannung"
"14","SEE909373287806","Heizkraftwerk Altenstadt GmbH & Co. KG","Heizkraftwerk Altenstadt","86972","Altenstadt","Triebstraße","90","Bayern","01.10.1999","","In Betrieb","Biomasse","Altholz, Gebrauchtholz, Holz(sperr)müll","Biomasse","Ja","nein","10,60","9,40",NA,"Kondensationsmaschine mit Entnahme","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Mittelspannung"
"15","SEE950208762586","Untere Iller GmbH","Untereichen F1","89281","Altenstadt","Werkstraße","60","Bayern","01.01.1931","","In Betrieb","Wasser","","Wasser","Nein","nein","4,00","4,00",NA,"","Teileinspeisung (einschließlich Eigenverbrauch)","LEW Verteilnetz GmbH (SNB911705062982)","Umspannebene Mittelspannung/Niederspannung"
