month_day,Mean (2017-2021),2022,2023
31-12-2023,74.99545454545454,53.98,90.03
01-01-2023,75.46545454545455,54.38,90.48
02-01-2023,75.13818181818182,54.65,90.6
03-01-2023,74.7509090909091,54.72,90.68
04-01-2023,74.34636363636363,54.59,90.72
05-01-2023,73.89272727272727,54.09,90.77
06-01-2023,73.46363636363635,53.54,90.93
07-01-2023,72.99636363636363,52.97,91.06
08-01-2023,72.59818181818181,52.57,91.17
09-01-2023,72.20181818181817,52.17,91.08
10-01-2023,71.77,51.21,90.98
11-01-2023,71.29818181818182,50.2,90.7
12-01-2023,70.85181818181819,49.25,90.61
13-01-2023,70.43363636363637,48.38,90.5
14-01-2023,69.98636363636363,47.52,90.44
15-01-2023,69.47727272727273,46.97,90.36
16-01-2023,68.95818181818183,46.56,89.85
17-01-2023,68.34272727272726,45.92,89.3
18-01-2023,67.64999999999999,45.08,88.68
19-01-2023,66.99,44.4,87.92
20-01-2023,66.32727272727273,43.61,87.12
21-01-2023,65.68,42.7,86.49
22-01-2023,65.05000000000001,42.09,85.81
23-01-2023,64.43454545454546,41.53,84.83
24-01-2023,63.845454545454544,40.61,83.76
25-01-2023,63.29909090909091,39.65,82.78
26-01-2023,62.77090909090909,38.81,82.06
27-01-2023,62.27909090909091,38.21,81.04
28-01-2023,61.81272727272727,37.53,80.33
29-01-2023,61.36363636363637,37.28,79.75
30-01-2023,60.8390909090909,37.02,79.16
31-01-2023,60.31636363636364,36.44,78.74
01-02-2023,59.804545454545455,36.04,78.28
02-02-2023,59.27454545454546,35.63,77.87
03-02-2023,58.71454545454546,35.32,77.67
04-02-2023,58.157272727272726,35.1,77.4
05-02-2023,57.58909090909091,34.99,77.31
06-02-2023,56.99181818181819,34.89,76.4
07-02-2023,56.38272727272727,34.5,75.61
08-02-2023,55.75,34.23,74.87
09-02-2023,55.08363636363637,34.0,74.12
10-02-2023,54.47818181818183,33.54,73.55
11-02-2023,53.86636363636364,33.09,73.28
12-02-2023,53.28636363636363,32.78,73.09
13-02-2023,52.70636363636365,32.61,72.68
14-02-2023,52.18363636363637,32.38,72.33
15-02-2023,51.790909090909096,32.11,72.03
16-02-2023,51.42090909090909,31.84,71.75
17-02-2023,51.095454545454544,31.63,71.69
18-02-2023,50.76090909090909,31.4,71.75
19-02-2023,50.58636363636364,31.15,71.76
20-02-2023,50.224545454545456,30.99,71.67
21-02-2023,49.57545454545455,30.65,71.53
22-02-2023,49.16181818181818,30.26,71.32
23-02-2023,48.77090909090909,29.98,71.19
24-02-2023,48.35818181818183,29.83,71.02
25-02-2023,47.95727272727272,29.48,70.88
26-02-2023,47.56363636363637,29.23,70.65
27-02-2023,47.16090909090909,29.03,69.97
28-02-2023,46.74363636363637,28.57,69.37
01-03-2023,46.333636363636366,27.94,68.78
02-03-2023,45.97090909090909,27.41,68.27
03-03-2023,45.64363636363636,26.96,67.81
04-03-2023,45.34181818181818,26.53,67.57
05-03-2023,45.04090909090908,26.26,67.25
06-03-2023,44.80727272727274,25.98,66.73
07-03-2023,44.50090909090909,25.39,66.07
08-03-2023,44.27,24.9,65.34
09-03-2023,44.09,24.57,64.86
10-03-2023,43.97727272727273,24.68,64.57
11-03-2023,43.83363636363636,24.64,64.32
