Quartal;Anzahl insgesamt;Konventionelle Antriebe;Alternative Antriebe;Elektro (BEV);"Brennstoffzelle 
(Wasserstoff)";Plug-in-Hybrid;Benzin-Hybrid;Diesel-Hybrid;"Gas
insgesamt";Wasserstoff;;;;;;;
01.07.2023;49.038.145;44.847.410;4.190.735;1.170.632;2.064;887.335;1.230.234;500.181;400.193;6;;;;;;;
01.04.2023;48.848.346;44.896.324;3.952.022;1.078.057;2.008;875.820;1.139.411;453.442;403.191;6;;;;;;;
01.01.2023;48.763.036;45.002.651;3.760.385;1.013.009;1.989;864.712;1.057.743;415.358;407.483;7;;;;;;;
01.10.2022;48.733.413;45.346.217;3.387.196;840.645;1.820;745.003;997.415;391.750;410.469;8;;;;;;;
01.07.2022;48.692.227;45.533.438;3.158.789;756.517;1.444;684.057;936.559;367.806;412.315;7;;;;;;;
01.04.2022;48.585.660;45.653.628;2.932.032;687.241;1.315;622.971;868.049;338.217;414.155;7;;;;;;;
01.01.2022;48.540.878;45.838.359;2.702.519;618.460;1.211;565.956;797.110;305.908;413.790;7;;;;;;;
01.10.2021;48.648.263;46.193.947;2.454.316;516.518;1.111;494.192;741.914;284.802;415.695;9;;;;;;;
01.07.2021;48.561.301;46.352.856;2.208.445;438.950;991;426.192;666.815;255.339;420.081;10;;;;;;;
01.04.2021;48.330.988;46.381.393;1.949.595;365.262;910;349.341;593.944;215.723;424.341;10;;;;;;;
01.01.2021;48.248.584;46.504.772;1.743.812;309.083;797;279.861;543.802;180.372;429.832;11;;;;;;;
01.10.2020;48.175.662;46.702.591;1.473.071;221.968;729;194.789;476.347;143.779;435.394;12;;;;;;;
01.07.2020;47.878.709;46.588.991;1.289.718;173.435;630;143.807;415.902;114.726;441.153;12;;;;;;;
01.04.2020;47.739.970;46.522.016;1.217.954;158.880;549;124.624;388.949;98.932;445.950;13;;;;;;;
01.01.2020;47.715.977;46.585.790;1.130.187;136.617;504;102.175;355.373;81.776;453.670;13;;;;;;;
01.10.2019;47.744.878;46.678.328;1.066.550;125.168;458;87.406;328.047;64.716;460.676;13;;;;;;;
01.07.2019;47.601.286;46.594.826;1.006.460;110.295;436;79.592;299.275;50.173;466.609;13;;;;;;;
01.04.2019;47.304.872;46.354.324;950.548;97.200;383;72.589;272.134;37.415;470.746;13;;;;;;;
01.01.2019;47.095.784;46.194.444;901.340;83.175;372;66.997;249.845;24.503;476.368;14;;;;;;;
01.10.2018;47.144.345;46.273.869;870.476;73.398;349;63.062;235.256;16.277;482.053;14;;;;;;;
01.07.2018;46.976.537;46.135.222;841.315;67.765;358;56.667;216.409;12.462;487.572;15;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
