Jahr; Straßenverkehr;Küsten- & Binnenschifffahrt; Schienenverkehr; nationaler Luftverkehr
1990;154,8259957;3,014166369;3,148682375;2,286526599
1991;158,3163181;2,896723948;2,818248026;2,199403358
1992;164,1351892;2,958138365;2,765979775;2,244368772
1993;168,5750538;2,942799862;2,753686658;2,160928846
1994;164,8107943;2,888404169;2,560995083;2,143716955
1995;168,9006361;2,434378375;2,476878873;2,259449669
1996;168,8721992;2,25452848;2,354224995;2,176402094
1997;169,6868916;1,924259549;2,172869555;2,287557543
1998;173,0527541;1,944687554;2,050883643;2,296114026
1999;178,4946595;1,706518259;1,937930717;2,317390127
2000;174,4987506;1,620275779;1,953927489;2,43142965
2001;170,8659739;1,607270746;1,790911668;2,372895835
2002;168,6717396;1,534168535;1,658844181;2,266041479
2003;162,3332408;1,58364767;1,627746694;2,253727826
2004;162,1631415;1,580667254;1,537556562;2,10420765
2005;154,15916;1,595411703;1,375025146;2,251724636
2006;150,3477746;1,46703294;1,298688656;2,304251789
2007;147,4049735;1,505787169;1,271072609;2,373958306
2008;147,0728371;1,466019655;1,250352547;2,400781599
2009;146,7700403;1,450002213;1,10049261;2,25794039
2010;147,9089038;1,399104129;1,120767927;2,247754605
2011;149,8980416;1,460502908;1,132078779;2,27519805
2012;148,6307981;1,448937956;1,042180641;2,164536952
2013;152,9167914;1,491216167;1,06008954;1,956531808
2014;154,0998545;1,572757144;0,948417974;1,977855451
2015;156,7611514;1,673133029;1,024471231;2,061497446
2016;159,9623359;1,534646844;1,059237569;2,067144121
2017;163,111714;1,436665436;0,878790822;2,00378591
2018;157,5449497;1,532449727;0,735904904;2,020286296
2019;159,1073925;1,590844126;0,834135544;2,126086744
2020;142,1637912;1,423324809;0,832623404;0,979933296
2021;143,7237808;1,466295736;0,855506167;0,740623213
2022;144,5413388;1,446813233;0,839305347;1,029948367
