;Apr '18;Mai '18;Jun '18;Jul '18;Aug '18;Sep '18;Okt '18;Nov '18;Dez '18;Jan '19;Feb '19;Mär '19;Apr '19;Mai '19;Jun '19;Jul '19;Aug '19;Sep '19;Okt '19;Nov '19;Dez '19;Jan '20;Feb '20;Mär '20;Apr '20;Mai '20;Jun '20;Jul '20;Aug '20;Sep '20;Okt '20;Nov '20;Dez '20;Jan '21;Feb '21;Mär '21;Apr '21;Mai '21;Jun '21;Jul '21;Aug '21;Sep '21;Okt '21;Nov '21;Dez '21;Jan '22;Feb '22;Mär '22;Apr '22;Mai '22;Jun '22;Jul '22;Aug '22;Sep '22;Okt '22;Nov '22;Dez '22;Jan '23;Feb '23;Mär '23;Apr '23;Mai '23;Jun '23;Jul '23;Aug '23;Sep '23;
Benzin;193.447;195.098;218.327;197.268;196.425;128.683;157.304;163.420;139.261;153.098;160.454;208.040;183.506;196.492;196.439;193.655;192.550;146.463;164.322;173.104;168.768;126.806;125.116;107.507;60.295;85.904;113.480;154.352;117.897;120.645;115.382;117.111;117.228;63.054;73.357;115.174;90.072;86.855;108.302;93.176;68.598;70.667;64.698;66.021;72.614;67.575;69.195;84.123;65.030;74.573;83.175;74.094;69.441;72.375;66.676;72.663;64.525;69.922;75.357;103.271;76.519;87.700;99.682;83.358;75.598;78.979;
Diesel;105.014;95.377;106.618;102.761;103.063;58.717;80.313;92.642;82.859;91.623;87.620;111.849;104.079;110.824;102.758;109.945;94.639;72.519;88.042;94.413;84.422;80.257;75.852;67.937;38.836;53.218;67.300;89.543;69.416;67.901;71.370;70.624;67.642;44.327;49.318;64.518;50.195;51.456;54.677;46.660;34.171;31.336;30.890;31.252;35.646;39.713;41.471;45.069;35.289;42.000;42.495;41.386;36.332;38.159;36.554;39.881;33.925;39.230;38.433;48.597;36.138;43.505;46.860;42.496;39.668;39.900;
Flüssiggas;386;420;482;326;344;147;343;409;577;898;732;800;790;926;717;818;976;293;125;84;97;46;49;82;191;200;339;784;774;809;872;993;1.404;340;287;674;1.028;618;682;975;711;906;999;1.249;1.649;1.586;1.734;1.745;838;618;1.120;1.401;1.088;1.274;927;1.490;1.185;1.068;839;1.161;903;1.166;2.111;991;920;666;
Erdgas;1.168;1.538;1.748;1.398;1.301;164;206;250;291;245;264;467;739;766;712;820;710;514;732;917;737;882;748;507;286;378;751;933;659;606;566;528;315;259;376;571;399;516;467;285;199;190;165;183;306;186;293;156;94;124;116;195;160;159;126;119;118;97;110;143;153;130;157;210;130;59;
Hybrid;10.858;10.299;11.466;13.559;12.801;10.049;11.057;11.672;10.216;15.171;15.147;17.737;16.814;19.306;18.820;21.560;19.852;18.945;26.382;24.917;23.575;30.805;30.000;28.735;16.573;22.844;30.254;52.488;46.188;54.036;62.929;71.904;81.108;45.449;52.704;81.220;64.094;64.367;76.564;69.795;60.720;60.159;51.327;59.251;68.938;54.126;59.473;75.713;56.786;60.659;65.363;59.962;59.835;68.433;68.533;88.278;110.160;50.772;58.980;84.029;59.468;71.645;78.249;67.483;70.396;73.178;
Plug-in Hybrid;2.632;2.465;3.139;3.091;3.431;2.362;1.996;2.004;1.875;2.119;2.202;3.061;3.003;3.269;2.871;3.270;3.120;3.572;6.947;6.334;5.580;8.639;8.354;9.426;5.618;6.755;10.749;19.119;17.095;20.127;24.859;30.621;39.107;20.588;21.879;35.580;26.988;27.222;31.314;30.154;24.497;22.842;23.734;27.899;32.752;18.900;21.583;27.288;21.697;23.209;26.203;23.712;24.719;28.336;32.064;44.581;69.801;8.853;11.916;16.776;11.787;13.803;15.930;14.345;14.552;15.383;
Elektro;3.171;2.310;2.651;2.526;2.457;2.357;3.390;4.262;3.836;4.648;4.637;6.616;4.768;4.630;5.760;5.963;5.001;5.880;4.979;4.651;5.748;7.492;8.154;10.329;4.635;5.578;8.119;16.798;16.076;21.188;23.158;28.965;43.671;16.315;18.278;30.101;23.816;26.786;33.420;25.464;28.860;33.655;30.560;40.270;48.436;20.892;28.306;34.474;22.175;29.182;32.234;28.815;32.006;44.389;35.781;57.980;104.325;18.136;32.475;44.125;29.740;42.780;52.988;48.682;86.649;31.714;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
